0074,0073|0068,0065|0055,0073|0048,0068|0084,0190
0043,0152|0030,0142|0088,0218|-070,0312|0093,0167
0043,0152|0030,0142|0088,0218|-066,0312|0093,0167
-078,-059|-069,-063|-085,0006|-038,-044|-080,-047
0392,0394|0385,0391|0351,0349|0345,0395|0336,0377
-106,0139|-129,0126|-122,0105|-152,-140|-063,0110
0023,0023|0025,0006|0098,-031|0044,-060|0000,-025
0043,0152|0030,0142|0088,0218|0084,0190|0093,0167
0022,-099|0010,-098|0004,-095|-018,-089|0014,-070
-082,-082|-090,-091|-102,-088|-095,-189|-061,-166
0039,0205|0047,0216|0114,0272|0119,0217|0036,0235
0132,0039|0132,0055|0104,0062|0224,0075|0188,0045
-111,0128|-104,0146|-095,0151|-153,0110|-052,0173
0061,0044|0068,0041|0044,0035|0019,0001|0023,0060
-156,0252|-180,0249|-167,0273|-182,0230|-183,0218
0193,-109|0209,-111|0219,-146|0220,-155|0252,-172
0463,-415|0460,-384|0438,-388|0449,-384|0416,-379
0250,0082|0255,0077|0267,0069|0267,0073|0246,0056
-107,-283|-086,-270|-066,-273|-086,-270|-078,-283
-334,0339|-312,0359|-309,0387|-307,0374|-307,0374
-288,-219|-287,-168|-303,-140|-287,-168|-271,-217
0254,0328|0218,0296|0249,0297|0252,0295|0251,0278
