 药师       返起     传送师    复活点   邮箱坐标
0074,0073|0068,0065|0055,0073|0048,0068|0084,0190 梦境
0043,0152|0030,0142|0088,0218|-070,0312|0093,0167 船第一层
0043,0152|0030,0142|0088,0218|-066,0312|0093,0167 船第二层
-078,-059|-069,-063|-085,0006|-038,-044|-080,-047 七侠镇
0392,0394|0385,0391|0351,0349|0345,0395|0336,0377 魔族新手村
-106,0139|-129,0126|-122,0105|-152,-140|-063,0110 五霸岗
0023,0023|0025,0006|0098,-031|0044,-060|0000,-025 杏子林
0043,0152|0030,0142|0088,0218|0084,0190|0093,0167 八里庄
0022,-099|0010,-098|0004,-095|-018,-089|0014,-070 烙印之塔
-082,-082|-090,-091|-102,-088|-095,-189|-061,-166 十八里铺
0039,0205|0047,0216|0114,0272|0119,0217|0036,0235 京城
0132,0039|0132,0055|0104,0062|0224,0075|0188,0045 草原
-111,0128|-104,0146|-095,0151|-153,0110|-052,0173 南疆
0061,0044|0068,0041|0044,0035|0019,0001|0023,0060 沙漠
-156,0252|-180,0249|-167,0273|-182,0230|-183,0218 火岛
0193,-109|0209,-111|0219,-146|0220,-155|0252,-172 冰岛
0463,-415|0462,-411|0438,-388|0449,-384|0416,-379 疾风彼岸
0250,0082|0255,0077|0267,0069|0267,0073|0246,0056 断海之渊
-107,-283|-086,-270|-066,-273|-086,-270|-078,-283 三皇之地
-334,0339|-312,0359|-309,0387|-307,0374|-307,0374 聂家村
-288,-219|-287,-168|-303,-140|-287,-168|-271,-217 涪陵城
254,328|218,296|247,297|252,295|251,278 汝阳城
-147,0328|-105,0313|-104,0319|-105,0313|-116,349   广阳府
-003,-014|-011,-033|-036,0004|-040,-039|0000,-002   瀛洲城
